Depto;año;Nombre - Indice;Posición;Puntaje;Grupo
BOGOTÁ & CUNDINAMARCA;2018;Absorción del conocimiento;1;74,85647445;1
BOLÍVAR;2018;Absorción del conocimiento;13;27,47204179;3
BOYACÁ;2018;Absorción del conocimiento;20;11,79815067;4
CALDAS;2018;Absorción del conocimiento;15;24,96073146;3
CAQUETÁ;2018;Absorción del conocimiento;21;10,33713953;4
CAUCA;2018;Absorción del conocimiento;19;12,84174938;3
CESAR;2018;Absorción del conocimiento;16;23,11486732;3
CÓRDOBA;2018;Absorción del conocimiento;28;4,094398974;5
CHOCÓ;2018;Absorción del conocimiento;17;19,62262725;3
HUILA;2018;Absorción del conocimiento;8;31,30864909;3
LA GUAJIRA;2018;Absorción del conocimiento;23;7,954126513;4
MAGDALENA;2018;Absorción del conocimiento;10;28,67677164;3
ANTIOQUIA;2018;Absorción del conocimiento;5;35,27992325;3
META;2018;Absorción del conocimiento;12;27,66424223;3
NARIÑO;2018;Absorción del conocimiento;29;3,184240263;5
NORTE DE SANTANDER;2018;Absorción del conocimiento;11;28,36133185;3
QUINDÍO;2018;Absorción del conocimiento;7;32,19457321;3
RISARALDA;2018;Absorción del conocimiento;2;44,53806048;2
SANTANDER;2018;Absorción del conocimiento;6;34,60244872;3
SUCRE;2018;Absorción del conocimiento;24;6,807883185;4
TOLIMA;2018;Absorción del conocimiento;4;36,8646944;2
VALLE DEL CAUCA;2018;Absorción del conocimiento;9;29,51067392;3
ATLÁNTICO;2018;Absorción del conocimiento;3;39,50161016;2
ARAUCA;2018;Absorción del conocimiento;14;25,96645272;3
CASANARE;2018;Absorción del conocimiento;22;9,667740146;4
PUTUMAYO;2018;Absorción del conocimiento;25;6,725660033;4
SAN ANDRES Y PROVIDENCIA;2018;Absorción del conocimiento;27;6,25710829;4
AMAZONAS;2018;Absorción del conocimiento;26;6,510703876;4
GUAINÍA;2018;Absorción del conocimiento;30;2,541371357;5
GUAVIARE;2018;Absorción del conocimiento;31;0,84370864;5
VICHADA;2018;Absorción del conocimiento;18;14,81841419;3
BOGOTÁ & CUNDINAMARCA;2018;Ambiente de negocios;3;71,90333333;1
BOLÍVAR;2018;Ambiente de negocios;16;68,58;2
BOYACÁ;2018;Ambiente de negocios;24;66,42666667;4
CALDAS;2018;Ambiente de negocios;1;73,23333333;1
CAQUETÁ;2018;Ambiente de negocios;28;64,47666667;4
CAUCA;2018;Ambiente de negocios;17;68,45666667;2
CESAR;2018;Ambiente de negocios;14;69,74333333;2
CÓRDOBA;2018;Ambiente de negocios;11;70,25333333;1
CHOCÓ;2018;Ambiente de negocios;9;71,06;1
HUILA;2018;Ambiente de negocios;13;69,81666667;2
LA GUAJIRA;2018;Ambiente de negocios;21;66,77666667;4
MAGDALENA;2018;Ambiente de negocios;22;66,60666667;4
ANTIOQUIA;2018;Ambiente de negocios;6;71,66;1
META;2018;Ambiente de negocios;8;71,15333333;1
NARIÑO;2018;Ambiente de negocios;25;66,40333333;4
NORTE DE SANTANDER;2018;Ambiente de negocios;10;71,03;1
QUINDÍO;2018;Ambiente de negocios;2;72,12333333;1
RISARALDA;2018;Ambiente de negocios;4;71,89333333;1
SANTANDER;2018;Ambiente de negocios;12;69,87333333;2
SUCRE;2018;Ambiente de negocios;19;68,20333333;3
TOLIMA;2018;Ambiente de negocios;7;71,29;1
VALLE DEL CAUCA;2018;Ambiente de negocios;15;69,23333333;2
ATLÁNTICO;2018;Ambiente de negocios;18;68,43666667;2
ARAUCA;2018;Ambiente de negocios;23;66,48666667;4
CASANARE;2018;Ambiente de negocios;20;67,89;3
PUTUMAYO;2018;Ambiente de negocios;31;62,39666667;5
SAN ANDRES Y PROVIDENCIA;2018;Ambiente de negocios;5;71,85;1
AMAZONAS;2018;Ambiente de negocios;26;66,17;4
GUAINÍA;2018;Ambiente de negocios;30;63,25;5
GUAVIARE;2018;Ambiente de negocios;27;65,56666667;4
VICHADA;2018;Ambiente de negocios;29;63,59;4
BOGOTÁ & CUNDINAMARCA;2018;Entorno político;6;80,68931211;1
BOLÍVAR;2018;Entorno político;17;74,54399784;3
BOYACÁ;2018;Entorno político;8;79,19203631;2
CALDAS;2018;Entorno político;13;77,32071806;2
CAQUETÁ;2018;Entorno político;26;64,48388793;4
CAUCA;2018;Entorno político;28;54,67307207;4
CESAR;2018;Entorno político;21;73,12315541;3
CÓRDOBA;2018;Entorno político;10;78,67513214;2
CHOCÓ;2018;Entorno político;25;67,18056275;4
HUILA;2018;Entorno político;16;74,87801722;3
LA GUAJIRA;2018;Entorno político;19;73,43418301;3
MAGDALENA;2018;Entorno político;11;77,85594756;2
ANTIOQUIA;2018;Entorno político;9;78,97189422;2
META;2018;Entorno político;18;74,00129982;3
NARIÑO;2018;Entorno político;20;73,43224179;3
NORTE DE SANTANDER;2018;Entorno político;24;70,53413026;3
QUINDÍO;2018;Entorno político;5;81,66128183;1
RISARALDA;2018;Entorno político;15;74,98761424;3
SANTANDER;2018;Entorno político;7;79,57426245;2
SUCRE;2018;Entorno político;4;81,89258295;1
TOLIMA;2018;Entorno político;23;71,75097057;3
VALLE DEL CAUCA;2018;Entorno político;14;76,26075782;2
ATLÁNTICO;2018;Entorno político;1;84,49340487;1
ARAUCA;2018;Entorno político;31;35,74132886;5
CASANARE;2018;Entorno político;29;53,608574;4
PUTUMAYO;2018;Entorno político;27;62,60449195;4
SAN ANDRES Y PROVIDENCIA;2018;Entorno político;12;77,57745208;2
AMAZONAS;2018;Entorno político;22;72,64328831;3
GUAINÍA;2018;Entorno político;2;84,33396082;1
GUAVIARE;2018;Entorno político;30;41,15869908;5
VICHADA;2018;Entorno político;3;83,34526182;1
BOGOTÁ & CUNDINAMARCA;2018;Entorno regulatorio;1;69,24027568;1
BOLÍVAR;2018;Entorno regulatorio;23;38,49235328;4
BOYACÁ;2018;Entorno regulatorio;8;51,2550198;3
CALDAS;2018;Entorno regulatorio;4;59,63634449;2
CAQUETÁ;2018;Entorno regulatorio;20;39,76110564;4
CAUCA;2018;Entorno regulatorio;22;38,54101416;4
CESAR;2018;Entorno regulatorio;17;42,25832552;4
CÓRDOBA;2018;Entorno regulatorio;25;37,40603658;4
CHOCÓ;2018;Entorno regulatorio;30;31,19390475;5
HUILA;2018;Entorno regulatorio;24;37,43379797;4
LA GUAJIRA;2018;Entorno regulatorio;21;38,63128661;4
MAGDALENA;2018;Entorno regulatorio;12;48,35345468;3
ANTIOQUIA;2018;Entorno regulatorio;2;63,16754654;2
META;2018;Entorno regulatorio;14;43,44401308;4
NARIÑO;2018;Entorno regulatorio;28;36,1966964;5
NORTE DE SANTANDER;2018;Entorno regulatorio;15;42,63706699;4
QUINDÍO;2018;Entorno regulatorio;6;56,18049915;2
RISARALDA;2018;Entorno regulatorio;5;57,91281062;2
SANTANDER;2018;Entorno regulatorio;9;51,20736623;3
SUCRE;2018;Entorno regulatorio;29;35,30723717;5
TOLIMA;2018;Entorno regulatorio;13;46,30184089;3
VALLE DEL CAUCA;2018;Entorno regulatorio;3;60,00402258;2
ATLÁNTICO;2018;Entorno regulatorio;10;51,04118991;3
ARAUCA;2018;Entorno regulatorio;19;40,19498659;4
CASANARE;2018;Entorno regulatorio;7;54,11170925;2
PUTUMAYO;2018;Entorno regulatorio;26;37,08954093;4
