Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2019,4,CHOCO,BOJAYA,40,12212,0.0033
2020,1,VAUPES,CARURU,11,3201,0.0034
2019,4,SANTANDER,VALLE DE SAN JOSE,28,6222,0.0045
2018,4,SANTANDER,SIMACOTA,87,10042,0.0087
2018,4,SUCRE,CAIMITO,13,15231,9e-04
2020,1,SANTANDER,LEBRIJA,1173,44169,0.0266
2019,3,ANTIOQUIA,FREDONIA,2051,24553,0.0835
2019,1,BOLIVAR,MOMPOS,1320,45498,0.029
2019,3,NARINO,SAN PEDRO DE CARTAGO,44,6831,0.0064
2019,2,VAUPES,PAPUNAUA,0,749,0
2018,4,CALDAS,VILLAMARIA,10523,64652,0.1628
2018,4,CHOCO,BAJO BAUDO,181,29957,0.006
2018,4,NARINO,LINARES,120,10236,0.0117
2019,1,ANTIOQUIA,EBEJICO,602,12108,0.0497
2019,2,QUINDIO,CIRCASIA,3778,28631,0.132
2019,3,CAUCA,TIMBIQUI,27,26363,0.001
2019,1,TOLIMA,HONDA,2973,24585,0.1209
2020,1,BOYACA,TIBANA,105,9119,0.0115
2019,2,META,FUENTE DE ORO,305,12266,0.0249
2020,1,BOYACA,PISBA,11,1793,0.0061
2020,1,ANTIOQUIA,PENOL,2192,21769,0.1007
2019,2,VALLE DEL CAUCA,TRUJILLO,820,19073,0.043
2018,4,ANTIOQUIA,YOLOMBO,1006,22538,0.0446
2019,3,ANTIOQUIA,MONTEBELLO,273,6635,0.0411
2019,4,SANTANDER,ONZAGA,18,4111,0.0044
2019,4,ANTIOQUIA,BETANIA,572,10274,0.0557
2019,2,CESAR,AGUACHICA,10227,114569,0.0893
2018,3,TOLIMA,ESPINAL,9712,70494,0.1378
2019,4,BOLIVAR,MORALES,29,22846,0.0013
2020,1,BOYACA,VIRACACHA,18,2809,0.0064
2018,3,CALDAS,RIOSUCIO,2159,50775,0.0425
2020,1,SANTANDER,CONCEPCION,122,5757,0.0212
2019,2,RISARALDA,SANTA ROSA DE CABAL,11476,78636,0.1459
2019,3,CAQUETA,MORELIA,41,3718,0.011
2019,1,BOYACA,LA UVITA,92,2831,0.0325
2018,3,CESAR,RIO DE ORO,18,16837,0.0011
2020,1,CHOCO,CONDOTO,551,12367,0.0446
2020,1,MAGDALENA,PIJINO DEL CARMEN,4,12908,3e-04
2018,4,NARINO,PROVIDENCIA,56,5572,0.0101
2019,4,CORDOBA,PUERTO ESCONDIDO,200,24036,0.0083
2019,3,NARINO,BARBACOAS,103,56195,0.0018
2019,1,CAQUETA,CURILLO,16,7683,0.0021
2018,3,BOLIVAR,MOMPOS,1336,44442,0.0301
2019,3,CESAR,LA GLORIA,37,17858,0.0021
2019,2,BOYACA,PAUNA,130,7198,0.0181
2018,3,VALLE DEL CAUCA,LA VICTORIA,815,12174,0.0669
2019,2,HUILA,LA ARGENTINA,289,13021,0.0222
2019,1,CAUCA,VILLA RICA,244,21000,0.0116
2020,1,ANTIOQUIA,YONDO,1100,20110,0.0547
2020,1,SANTANDER,CABRERA,14,2021,0.0069
2019,2,BOYACA,SAN JOSE DE PARE,57,4989,0.0114
2018,3,CAUCA,MORALES,121,38838,0.0031
2019,1,RISARALDA,SANTUARIO,561,12506,0.0449
2019,1,NARINO,MAGsI,10,25214,4e-04
2018,3,ANTIOQUIA,NECOCLI,1452,42281,0.0343
2019,2,CASANARE,VILLANUEVA,1188,35793,0.0332
2019,3,SANTANDER,CERRITO,113,6838,0.0165
2019,4,SANTANDER,LEBRIJA,1103,43145,0.0256
2019,4,ARAUCA,ARAUCA,7387,91875,0.0804
2019,4,BOYACA,SANTA ROSA DE VITERBO,48,13205,0.0036
2019,4,SANTANDER,GUADALUPE,25,4473,0.0056
2019,1,CUNDINAMARCA,BITUIMA,33,2507,0.0132
2019,1,BOLIVAR,MAGANGUE,8486,137030,0.0619
2019,4,SANTANDER,SANTA HELENA DEL OPON,14,3393,0.0041
2020,1,NORTE DE SANTANDER,SANTIAGO,40,3667,0.0109
2019,1,CESAR,LA PAZ,1228,28758,0.0427
2019,1,SUCRE,BUENAVISTA,77,10727,0.0072
2018,4,CALDAS,PALESTINA,762,15555,0.049
2018,3,NARINO,SAMANIEGO,418,29414,0.0142
2018,3,HUILA,GARZON,5036,72382,0.0696
2019,2,CHOCO,CARMEN DEL DARIEN,21,18930,0.0011
2020,1,ANTIOQUIA,HELICONIA,230,5395,0.0426
2019,3,CUNDINAMARCA,TENA,101,10065,0.01
2020,1,TOLIMA,LERIDA,621,18617,0.0334
2020,1,NARINO,GUALMATAN,27,7040,0.0038
2019,1,CALDAS,PACORA,662,15296,0.0433
2020,1,CUNDINAMARCA,FOSCA,54,6038,0.0089
2019,1,CESAR,MANAURE,98,10479,0.0094
2018,4,ANTIOQUIA,CARACOLI,268,4582,0.0585
2018,4,CAUCA,MIRANDA,330,31360,0.0105
2019,1,CUNDINAMARCA,NARINO,52,2395,0.0217
2018,3,SANTANDER,OCAMONTE,47,5661,0.0083
2018,4,CAQUETA,SOLITA,10,6216,0.0016
2019,2,VALLE DEL CAUCA,BOLIVAR,337,15828,0.0213
2018,4,MAGDALENA,SANTA BARBARA DE PINTO,8,10575,8e-04
2018,3,META,LA MACARENA,342,26890,0.0127
2020,1,CALDAS,BELALCAZAR,53,10650,0.005
2019,3,ANTIOQUIA,CHIGORODO,6286,58684,0.1071
2019,3,ANTIOQUIA,AMALFI,1507,26552,0.0568
2019,4,ANTIOQUIA,GIRARDOTA,8011,53162,0.1507
2019,1,ARAUCA,PUERTO RONDON,10,4688,0.0021
2019,4,AMAZONAS,PUERTO ARICA,6,1027,0.0058
2019,3,CASANARE,NUNCHIA,126,8738,0.0144
2019,3,CHOCO,RIO QUITO,576,8355,0.0689
2019,1,BOYACA,MIRAFLORES,625,8937,0.0699
2019,3,NORTE DE SANTANDER,MUTISCUA,49,4373,0.0112
2018,3,SANTANDER,CERRITO,103,6729,0.0153
2019,3,NORTE DE SANTANDER,VILLA CARO,39,5172,0.0075
2018,4,CUNDINAMARCA,VERGARA,69,6847,0.0101
2018,4,BOYACA,SANTA ROSA DE VITERBO,66,13066,0.0051
2018,3,CHOCO,UNGUIA,184,12854,0.0143
2019,4,SANTANDER,CABRERA,15,1983,0.0076
2020,1,BOYACA,CAMPOHERMOSO,76,3061,0.0248
2019,1,ANTIOQUIA,HISPANIA,539,5530,0.0975
2018,4,TOLIMA,CARMEN DE APICALA,533,10117,0.0527
2018,3,NORTE DE SANTANDER,HERRAN,17,6755,0.0025
