Ano;Amazonas_ACTI;Amazonas_I+D;Antioquia_ACTI;Antioquia_I+D;Arauca_ACTI;Arauca_I+D;Atlantico_ACTI;Atlantico_I+D;Bogota, D.C._ACTI;Bogota, D.C._I+D;Bolivar_ACTI;Bolivar_I+D;Boyaca_ACTI;Boyaca_I+D;Caldas_ACTI;Caldas_I+D;Caqueta_ACTI;Caqueta_I+D;Casanare_ACTI;Casanare_I+D;Cauca_ACTI;Cauca_I+D;Cesar_ACTI;Cesar_I+D;Choco_ACTI;Choco_I+D;Cordoba_ACTI;Cordoba_I+D;Cindinamarca_ACTI;Cindinamarca_I+D;Guainia_ACTI;Guainia_I+D;Guaviare_ACTI;Guaviare_I+D;Huila_ACTI;Huila_I+D;La Guajira_ACTI;La Guajira_I+D;Magdalena_ACTI;Magdalena_I+D;Meta_ACTI;Meta_I+D;Narino_ACTI;Narino_I+D;Norte de Santander_ACTI;Norte de Santander_I+D;Putumayo_ACTI;Putumayo_I+D;Quindio_ACTI;Quindio_I+D;Risaralda_ACTI;Risaralda_I+D;San Andres_ACTI;San Andres_I+D;Santander_ACTI;Santander_I+D;Sucre_ACTI;Sucre_I+D;Tolima_ACTI;Tolima_I+D;Valle del Cauca_ACTI;Valle del Cauca_I+D;Vaupes_ACTI;Vaupes_I+D;Vichada_ACTI;Vichada_I+D;COLOMBIA_ACTI;COLOMBIA_I+D
2000;0,28%;0,82%;17,73%;30,12%;0,02%;0,06%;3,20%;1,31%;53,88%;43,33%;0,81%;1,02%;0,43%;0,71%;4,44%;6,16%;0,12%;0,34%;0,00%;0,00%;0,36%;0,30%;0,03%;0,05%;0,14%;0,40%;0,04%;0,12%;2,03%;0,91%;0,02%;0,06%;0,15%;0,44%;0,08%;0,02%;0,04%;0,12%;0,49%;0,96%;0,06%;0,07%;0,03%;0,01%;0,35%;0,18%;0,04%;0,10%;0,04%;0,05%;0,43%;0,60%;0,15%;0,25%;2,65%;2,87%;0,03%;0,06%;0,16%;0,06%;11,67%;8,22%;0,10%;0,29%;0,00%;0,00%;100,00%;100,00%
2001;0,21%;0,55%;19,83%;30,36%;0,03%;0,09%;3,49%;1,29%;49,28%;44,23%;1,04%;1,32%;0,47%;0,70%;4,37%;5,08%;0,09%;0,23%;0,00%;0,00%;0,41%;0,29%;0,03%;0,04%;0,12%;0,30%;0,04%;0,10%;2,26%;0,89%;0,02%;0,04%;0,11%;0,30%;0,09%;0,02%;0,04%;0,10%;0,56%;0,95%;0,06%;0,07%;0,08%;0,13%;0,41%;0,20%;0,03%;0,07%;0,04%;0,04%;0,53%;0,73%;0,20%;0,24%;3,05%;2,75%;0,03%;0,06%;0,18%;0,08%;12,81%;8,54%;0,08%;0,20%;0,00%;0,00%;100,00%;100,00%
2002;0,25%;0,61%;18,76%;26,29%;0,06%;0,14%;3,12%;1,18%;53,02%;50,33%;0,86%;1,04%;0,49%;0,75%;3,62%;4,00%;0,10%;0,25%;0,00%;0,00%;0,37%;0,26%;0,03%;0,04%;0,20%;0,49%;0,06%;0,14%;2,11%;0,79%;0,02%;0,05%;0,14%;0,33%;0,08%;0,01%;0,06%;0,14%;0,52%;0,87%;0,06%;0,06%;0,07%;0,10%;0,40%;0,27%;0,03%;0,08%;0,03%;0,04%;0,59%;0,83%;0,16%;0,20%;2,85%;2,63%;0,03%;0,06%;0,20%;0,10%;11,61%;7,69%;0,09%;0,22%;0,00%;0,00%;100,00%;100,00%
2003;0,19%;0,45%;18,66%;25,39%;0,06%;0,15%;2,82%;1,03%;51,33%;49,64%;0,88%;1,01%;0,49%;0,58%;3,43%;3,87%;0,08%;0,19%;0,00%;0,00%;0,37%;0,23%;0,12%;0,16%;0,11%;0,27%;0,24%;0,33%;4,41%;2,69%;0,01%;0,03%;0,10%;0,24%;0,12%;0,01%;0,04%;0,10%;0,59%;0,88%;0,31%;0,47%;0,22%;0,28%;0,53%;0,17%;0,02%;0,06%;0,06%;0,04%;0,71%;0,75%;0,14%;0,19%;2,58%;2,46%;0,04%;0,07%;0,31%;0,27%;10,96%;7,83%;0,07%;0,16%;0,00%;0,00%;100,00%;100,00%
2004;0,16%;0,41%;12,90%;15,99%;0,07%;0,19%;2,85%;1,08%;58,88%;61,23%;0,79%;1,03%;0,12%;0,05%;3,51%;4,12%;0,06%;0,17%;0,00%;0,00%;0,38%;0,23%;0,07%;0,11%;0,20%;0,29%;0,12%;0,20%;3,93%;2,13%;0,01%;0,03%;0,08%;0,22%;0,10%;0,01%;0,02%;0,06%;0,52%;0,82%;0,20%;0,30%;0,17%;0,21%;0,71%;0,31%;0,02%;0,05%;0,03%;0,04%;0,66%;0,66%;0,16%;0,19%;2,31%;2,38%;0,06%;0,08%;0,27%;0,23%;10,55%;7,02%;0,06%;0,15%;0,00%;0,00%;100,00%;100,00%
2005;0,14%;0,39%;15,35%;26,61%;0,07%;0,20%;2,32%;1,04%;59,76%;49,52%;0,75%;1,01%;0,46%;0,66%;2,90%;3,86%;0,06%;0,16%;0,00%;0,00%;0,35%;0,24%;0,07%;0,12%;0,12%;0,33%;0,13%;0,22%;3,32%;2,30%;0,01%;0,03%;0,07%;0,21%;0,14%;0,01%;0,02%;0,06%;0,48%;0,85%;0,19%;0,34%;0,14%;0,16%;0,64%;0,37%;0,02%;0,05%;0,03%;0,04%;0,76%;1,04%;0,13%;0,20%;2,22%;2,63%;0,03%;0,08%;0,30%;0,24%;8,96%;6,88%;0,05%;0,14%;0,00%;0,00%;100,00%;100,00%
2006;0,15%;0,40%;17,47%;24,98%;0,08%;0,20%;2,64%;1,13%;55,83%;51,69%;0,94%;1,42%;0,41%;0,63%;3,19%;3,75%;0,06%;0,16%;0,00%;0,00%;0,44%;0,22%;0,11%;0,12%;0,13%;0,08%;0,18%;0,24%;3,05%;2,16%;0,01%;0,03%;0,08%;0,21%;0,11%;0,02%;0,07%;0,08%;0,52%;0,83%;0,20%;0,30%;0,24%;0,28%;0,89%;0,34%;0,02%;0,05%;0,08%;0,04%;0,76%;0,92%;0,20%;0,19%;2,15%;2,46%;0,04%;0,08%;0,30%;0,22%;9,60%;6,64%;0,06%;0,14%;0,00%;0,00%;100,00%;100,00%
2007;0,13%;0,34%;22,57%;25,00%;0,06%;0,17%;2,07%;0,65%;53,23%;48,56%;1,06%;1,71%;0,15%;0,22%;2,20%;3,20%;0,06%;0,14%;0,00%;0,00%;0,88%;0,38%;0,12%;0,25%;0,04%;0,06%;0,25%;0,53%;3,39%;4,60%;0,01%;0,03%;0,07%;0,19%;0,05%;0,02%;0,03%;0,08%;0,36%;0,84%;0,33%;0,78%;0,28%;0,36%;0,54%;0,37%;0,02%;0,04%;0,04%;0,03%;0,62%;0,82%;0,12%;0,17%;1,63%;2,42%;0,03%;0,07%;0,51%;0,38%;9,07%;7,44%;0,05%;0,12%;0,00%;0,00%;100,00%;100,00%
2008;0,12%;0,31%;23,41%;30,08%;0,04%;0,11%;2,17%;0,91%;51,12%;44,72%;1,28%;1,50%;0,32%;0,55%;2,61%;3,66%;0,05%;0,13%;0,00%;0,01%;1,01%;0,55%;0,11%;0,18%;0,09%;0,17%;0,34%;0,37%;4,74%;4,17%;0,01%;0,04%;0,06%;0,16%;0,20%;0,11%;0,03%;0,08%;0,35%;0,74%;0,39%;0,53%;0,33%;0,32%;0,36%;0,34%;0,02%;0,04%;0,06%;0,03%;0,55%;0,81%;0,10%;0,16%;1,67%;1,98%;0,02%;0,05%;0,63%;0,28%;7,77%;6,80%;0,04%;0,11%;0,00%;0,00%;100,00%;100,00%
2009;0,15%;0,35%;23,40%;29,16%;0,07%;0,16%;2,23%;0,78%;50,57%;42,84%;1,36%;1,75%;0,40%;0,63%;2,60%;3,72%;0,06%;0,14%;0,02%;0,04%;1,00%;0,82%;0,12%;0,26%;0,08%;0,19%;0,36%;0,51%;4,08%;5,07%;0,02%;0,03%;0,08%;0,19%;0,29%;0,13%;0,04%;0,09%;0,50%;0,86%;0,45%;0,77%;0,76%;0,39%;0,31%;0,21%;0,02%;0,05%;0,05%;0,03%;0,55%;0,73%;0,17%;0,18%;2,11%;2,61%;0,03%;0,06%;0,60%;0,41%;7,47%;6,69%;0,05%;0,13%;0,00%;0,00%;100,00%;100,00%
